label,Mean,Std Deviation,Skewness,Kurtosis,Spectral Bandwidth,Spectral Flatness,Spectral Rolloff,Spectral Contrast,Zero Crossing Rate,Peak Amplitude,Spectral Centroid,STFT_Mean_1,STFT_Mean_2,STFT_Mean_3,STFT_Mean_4,STFT_Mean_5,STFT_Std_1,STFT_Std_2,STFT_Std_3,STFT_Std_4,STFT_Std_5,MFCC_Mean_1,MFCC_Mean_2,MFCC_Mean_3,MFCC_Mean_4,MFCC_Mean_5,MFCC_Std_1,MFCC_Std_2,MFCC_Std_3,MFCC_Std_4,MFCC_Std_5
blues,3.1212292,51.81798,-0.376993718,3.809883085,2002.412407,0.004495574,3805.72303,20.5232891,0.083044821,46.84312,1784.122641,2.4775238,1.9784839,2.479552,6.3889318,13.40201,15.596546,14.527028,10.2865305,8.604581,8.748516,7.6574388,11.610653,16.43011,14.268398,10.371088,8.330589,10.02481,13.911504,16.75784,12.389801
blues,-0.00777608,74.25884,-2.229792031,8.580265285,2038.987608,0.002298098,3550.713616,20.67248576,0.056039809,38.372528,1530.261767,2.8620455,2.1295412,2.256959,6.243738,15.036282,20.09489,14.833563,8.594859,9.653146,15.357184,10.60114,7.257113,9.0518675,8.377543,5.971762,5.9643574,8.587845,10.750958,15.024504,10.146022
blues,3.3640695,52.990746,0.429697622,4.28320325,1747.754087,0.002635016,3042.410115,22.19129199,0.076291207,58.584976,1552.832481,0.1538924,0.6074351,1.6736978,3.2888122,5.0552406,8.255153,10.403332,16.90951,20.65918,16.961842,15.692376,19.5522,15.917651,13.384346,17.105312,19.910902,17.384369,12.688964,13.370541,13.196189
blues,0.8668721,73.86365,-1.485622995,6.208764738,1596.422564,0.00095489,2184.879029,21.42362111,0.033308863,72.53676,1070.153418,0.11169741,0.21317951,0.35304818,0.70911765,2.6002502,11.596272,28.602713,55.380196,48.775192,17.130358,9.557072,12.01637,10.953161,9.934327,11.262432,10.714224,10.777615,9.660131,7.8215785,7.909731
blues,-9.653032,63.26262,-0.929397029,5.631127462,1748.410758,0.003240217,3579.957471,21.45961803,0.101460539,29.669495,1835.128513,0.55826217,0.48987025,0.28180888,0.32972378,0.4367286,0.48163915,0.6700442,1.9974685,3.738997,2.7761896,1.9743115,2.006416,1.8289584,1.7032449,1.6289645,2.114823,3.6104124,3.4070249,2.6502213,2.8106263
blues,-8.217213,68.20621,-1.381785539,7.411243169,1729.580804,0.003058888,3481.467631,22.5426155,0.094041534,40.411266,1832.011597,0.917632,0.74512035,0.5500899,1.2269492,1.2962458,0.9708759,1.4964236,2.0433786,2.8107035,4.193943,3.0462902,2.2096438,2.6591635,4.9474134,4.625446,2.0894494,2.2053363,5.9685173,8.154818,5.003455
blues,-7.9090714,73.87702,-1.54005981,7.240967219,1389.068446,0.000975644,2795.910729,23.42114999,0.073052237,57.44935,1459.469691,0.15895963,0.3053013,0.7902182,1.4937824,1.4913491,1.2475997,1.2025975,1.3301303,2.2602167,2.4427924,4.9323587,5.1150794,2.1771736,1.4382743,2.0051262,7.2123847,14.542801,10.081303,6.059099,14.604517
blues,-4.552822,70.44886,-1.170056024,5.853498018,1577.567116,0.001438774,2955.319717,22.4355473,0.061442246,53.855186,1451.859414,1.165298,1.036596,0.62626743,0.8056411,0.8505651,0.8908953,1.1052234,2.2019994,3.4837542,3.5753584,9.00826,9.805405,5.56697,5.375587,5.8471775,10.607422,15.198441,9.341232,8.314035,12.972656
blues,3.4778602,54.350143,-0.483085174,3.522596952,2031.829366,0.002596804,3782.441191,22.37198971,0.064024888,62.494766,1719.463366,0.10163186,0.23229374,0.5086351,2.3294418,6.6382413,20.343122,33.899982,39.47971,33.572678,14.437032,5.755758,7.3084903,9.413776,9.116804,11.104954,12.733423,13.089132,9.145934,10.930249,15.348218
blues,-6.9299097,73.49648,-2.0056531,6.918928848,1973.792039,0.002710847,3943.831966,21.15661982,0.079174824,34.252403,1817.23059,1.1162239,2.3400269,2.3785038,1.8724908,1.5414112,1.8726985,2.846574,3.2031488,2.7026563,2.8755684,2.4564435,1.5971644,1.9221796,2.195358,2.102003,2.102681,2.4852054,3.4237628,6.0468974,5.5266953
blues,-4.6007857,69.26548,-1.387545062,7.535362425,1512.304655,0.001245921,2765.96742,21.08769741,0.062958826,59.664433,1410.023423,1.2318369,1.0162696,1.1667302,3.5611055,5.504532,4.6268177,2.7611341,5.979839,10.528045,6.4343257,3.6601648,3.661484,2.8396945,2.6256213,2.9046595,5.4679623,7.0104523,4.236092,4.036931,5.2171674
blues,-8.572147,91.15121,-2.409057136,7.264050287,1756.882097,0.003281127,2880.911092,20.79772916,0.043930585,33.778816,1352.74271,0.06360188,0.11016973,0.18214408,0.37382326,1.4739668,6.7599945,10.116641,18.315756,18.284122,7.3332067,4.2591386,3.9233387,2.812453,2.4000788,3.844462,7.3924375,6.6330276,4.3535886,5.904688,6.586994
blues,-2.1754367,74.77912,-1.564986106,5.540811659,1567.299469,0.000771528,2738.830255,22.12638857,0.069095007,55.16344,1360.685602,0.5120821,1.9413683,5.509226,7.1580224,5.830698,5.6775627,6.507022,4.6987295,6.0321226,5.25121,2.9272892,4.463601,3.2752633,2.0708978,2.14115,2.8641956,6.377385,8.466475,6.6068463,10.047693
blues,-1.769994,71.708305,-1.639256051,4.872355323,1827.850132,0.001199246,2711.484919,21.41024309,0.051401703,54.71318,1324.527825,0.66209996,2.541386,9.2344675,12.594771,7.092604,6.4266515,6.8392024,4.1305904,6.393924,5.6469703,4.2349133,8.274742,5.8491035,3.1464322,2.7858534,3.3297043,7.5067315,8.363617,6.3290076,10.383918
blues,-5.841323,96.28752,-2.738369269,8.229261491,1705.37013,0.000472816,2344.98747,21.61981566,0.045036676,29.050724,1171.967432,0.8163068,2.8018537,8.844714,11.696735,7.5271597,6.4230957,6.4074564,3.3511887,3.0876205,2.0646787,1.2945778,2.2541234,1.8659962,1.4752077,1.1262624,0.894733,1.7605236,2.3359356,2.3741057,3.0887506
blues,-4.253344,78.995316,-2.113342327,6.442081376,1731.176853,0.001107854,2930.23928,21.35925267,0.063701255,34.175056,1420.438571,0.45506203,1.4481733,5.5015454,7.7094064,4.5325007,4.1980953,4.7890778,3.4226496,4.2681346,3.5959694,2.248558,2.588983,2.2513485,2.2842467,2.660308,2.745211,3.1570146,3.724004,3.5443025,5.812969
blues,-3.6599069,78.33581,-2.110395619,6.454374118,1826.043338,0.00130429,3010.010389,21.05561063,0.061344061,33.514786,1455.072634,0.5702075,2.0148563,6.8956475,9.67254,6.391154,5.3598657,6.0462065,4.456457,6.1769795,5.226286,2.2336667,1.7126293,1.5066769,1.6498942,1.8446397,2.6268997,2.8730955,2.486807,4.4686785,8.5642805
blues,-1.5142237,84.466705,-1.892207769,6.035202216,1411.001637,0.000461984,2135.417611,21.71527206,0.048326249,40.867092,1089.005344,1.0923191,3.901781,9.361753,11.900581,7.8420753,6.773791,7.2240148,5.9780807,9.756725,8.458334,3.6777065,3.145385,2.8661447,3.0307534,3.6844301,5.1032715,5.861477,5.572669,8.9681,17.097689
blues,-4.7820745,79.71186,-2.356159358,6.43796234,2053.965411,0.001481024,3495.331816,21.71215205,0.05614177,38.32362,1537.491387,0.54650885,1.699331,8.061898,11.133058,5.0208697,3.286991,3.4251456,3.9963422,8.6591,7.190701,2.708122,3.347407,3.1731586,2.6683056,2.0774343,1.7130064,2.0178888,2.7372088,5.273502,7.5642424
blues,-3.626007,81.635155,-1.862327173,6.037616228,1481.022638,0.00064237,2235.614453,21.48142241,0.058886039,41.983105,1195.498131,0.55574745,2.424209,7.1467977,9.063146,6.3029194,4.9050775,5.085023,3.5506566,4.6387362,4.147736,2.28801,2.0566747,1.7386836,2.069433,2.4073608,3.0025845,2.7258415,3.027461,8.330859,14.495938
blues,-3.4018075,76.728386,-1.889761761,5.507771223,1911.218378,0.001653614,3006.146736,20.07031105,0.052586342,31.751709,1390.382814,0.4954927,1.4488013,6.2750087,8.650931,4.8913827,4.8004737,6.2750583,4.5648427,5.005991,4.1240997,1.939977,2.6371567,2.566193,2.5232434,3.1414132,4.605702,4.5407286,3.086939,6.1666193,12.026445
